GID,IDENT,NUMERO,NUMERO_X,NUMERO_Y,NUMERO_O,POP_MUN,POP_CAP,POP_TOT,POP_SDC,NB_LOG_P,NB_LOG_S,NB_LOG_O,NB_LOG_V,NB_LOG_T,CDATE,MDATE
4178,032AB05,AB05,1421740.06,4197003.12,0,0,0,0,0,0,0,0,0,0,19951206150100,20060905225800
4179,032AB03,AB03,1422206.25,4196901.85,0,0,0,0,0,0,0,0,0,0,19951206150200,20060905225800
4180,032AP01,AP01,1420706.89,4197505.53,0,20,0,20,20,5,0,0,0,5,19951206150700,20060905225800
3453,063SK12,SK12,1419830.12,4192238.17,0,35,0,35,35,21,0,0,1,22,19951201102200,20060905225700
3454,063SK13,SK13,1419887.15,4192217.12,0,59,0,59,59,24,0,0,0,24,19951201102200,20060905225700
3455,063SK10,SK10,1419750.57,4192369.44,0,18,0,18,18,8,0,0,2,10,19951201102400,20060905225700
3456,063SK09,SK09,1419857.35,4192331.83,0,40,0,40,40,20,1,0,6,27,19951201102400,20060905225700
3457,063SK08,SK08,1419865.2,4192391.92,0,113,0,113,113,55,1,0,2,58,19951201102400,20060905225700
3458,063SR16,SR16,1419473.43,4192556.74,0,232,0,232,232,98,0,0,0,98,19951201102500,20060905225700
3459,063SR14,SR14,1419650.22,4192471.57,0,157,0,157,157,82,0,0,1,83,19951201102500,20060905225700
3460,063SP05,SP05,1419521.72,4192631.87,0,98,0,98,98,38,0,0,9,47,19951201102500,20060905225700
3463,063SP02,SP02,1419566.56,4192726.85,0,88,0,88,88,36,0,0,3,39,19951201102600,20060905225700
4176,032AC16,AC16,1423095.77,4196586.28,0,29,0,29,29,15,0,0,0,15,19951206145700,20060905225800
3185,063VD06,VD06,1413975.73,4189982.34,0,0,0,0,0,0,0,0,0,0,19951130142700,20060905225700
3186,063VD01,VD01,1414021.55,4189866.74,0,178,0,178,178,88,2,0,16,106,19951130142700,20060905225700
3187,063VD02,VD02,1414135.04,4189851.02,0,183,0,183,183,92,0,2,11,105,19951130142800,20060905225700
3188,063VB02,VB02,1414088.62,4190078.67,0,342,0,342,342,186,1,2,17,206,19951130142800,20060905225700
3189,063VX03,VX03,1413698.19,4190071.57,0,636,0,636,636,344,3,12,33,392,19951130142800,20060905225700
3190,063VB01,VB01,1413954.91,4190189.27,0,84,0,84,84,38,0,0,3,41,19951130142800,20060905225700
3191,063VX02,VX02,1413749.52,4190405.71,0,110,0,110,110,44,0,0,1,45,19951130142900,20060905225700
3192,063VY04,VY04,1414066.07,4190362.49,0,212,0,212,212,114,0,2,14,130,19951130142900,20060905225700
3193,063VY03,VY03,1414141.4,4190452.93,0,41,0,41,41,17,0,0,0,17,19951130143000,20060905225700
3194,063VY02,VY02,1414179.33,4190529.21,0,28,0,28,28,10,0,0,0,10,19951130143000,20060905225700
3195,063YC03,YC03,1414215.2,4190605.49,0,39,0,39,39,21,0,0,0,21,19951130143000,20060905225700
3196,063YC02,YC02,1414224.03,4190667.53,0,53,0,53,53,19,0,0,0,19,19951130143000,20060905225700
3197,063YA04,YA04,1414245.09,4190472.73,0,63,0,63,63,28,1,0,1,30,19951130143000,20060905225700
3198,063YA03,YA03,1414292.07,4190399.85,0,21,0,21,21,8,0,0,1,9,19951130143000,20060905225700
3199,063VA01,VA01,1414283.93,4190274.77,0,8,0,8,8,4,0,0,0,4,19951130143000,20060905225700
3200,063VA02,VA02,1414267.73,4190106.57,0,251,0,251,251,129,9,1,6,145,19951130143000,20060905225700
3201,063NW10,NW10,1414229.68,4189887.97,85,43,0,43,43,15,0,0,1,16,19951130143000,20060905225700
3202,063NW11,NW11,1414287.69,4189798.66,0,156,0,156,156,35,0,1,7,43,19951130143100,20060905225700
3203,063NW12,NW12,1414423.74,4189700.34,279.7,0,0,0,0,0,0,0,0,0,19951130143100,20060905225700
3846,119AR02,AR02,1421904.72,4189430.7,0,63,0,63,63,30,0,0,1,31,19951205095700,20060905225800
3847,119AR01,AR01,1421931.85,4189547.9,0,57,0,57,57,20,0,0,0,20,19951205095700,20060905225800
3848,119AR03,AR03,1421705.15,4189488.99,0,66,0,66,66,28,0,2,1,31,19951205095700,20060905225800
3849,119AR04,AR04,1421730.97,4189581.19,0,46,0,46,46,20,0,0,1,21,19951205095700,20060905225800
3850,119AR05,AR05,1421757.09,4189708.19,0,97,0,97,97,41,0,1,4,46,19951205095700,20060905225800
3851,119AP11,AP11,1421695.03,4189325.44,0,207,0,207,207,76,0,0,1,77,19951205100000,20060905225800
3852,119AP12,AP12,1421915.41,4189284.37,0,55,0,55,55,28,0,0,0,28,19951205100000,20060905225800
3853,119AP01,AP01,1422051.42,4189295.14,0,52,0,52,52,26,0,0,0,26,19951205100000,20060905225800
3854,119AP03,AP03,1422207.45,4189355.75,0,39,0,39,39,20,0,0,2,22,19951205100000,20060905225800
3855,119AP14,AP14,1422263.38,4189285.67,0,84,0,84,84,31,0,0,1,32,19951205100000,20060905225800
3856,119AP10,AP10,1421763.52,4189074.75,0,13,0,13,13,6,0,0,0,6,19951205100100,20060905225800
3857,119AP16,AP16,1422147.08,4189165.99,0,89,0,89,89,41,0,0,2,43,19951205100100,20060905225800
4098,0130007,0007,1423885.9,4188951.63,0,503,0,503,503,157,1,0,3,161,19951205163200,20060905225800
3543,069AK04,AK04,1416084.83,4191276.75,0,374,0,374,374,154,0,1,7,162,19951201161600,20060905225700
3464,063SP01,SP01,1419483.36,4192776,0,80,0,80,80,31,0,0,0,31,19951201102600,20060905225700
3465,063SL05,SL05,1419873.83,4192460.05,0,146,0,146,146,72,0,1,9,82,19951201102600,20060905225700
3467,063SL03,SL03,1419843.92,4192563.03,0,84,0,84,84,39,0,0,1,40,19951201102600,20060905225700
